,Test_ACC,Test_MAE,Train_ACC,Train_MAE,Validation_ACC,Validation_MAE,cop_level,hidden_l_sizes,learning_rate,lr_pretrain,size
13,0.9486166007905138,0.20639285100532737,0.9900744416873449,0.17083105000338653,0.9554455445544554,0.15826879717674738,,27_16,0.08490782183894702,,2
14,0.9367588932806324,0.23268602852723835,0.988833746898263,0.17581845833666854,0.9207920792079208,0.18674639741201843,,13_37,0.014732841773646789,,2
15,0.932806324110672,0.2239216360199347,0.9813895781637717,0.17980838500329416,0.9405940594059405,0.17047348299186355,,4_30,0.06569310167611904,,2
16,0.9486166007905138,0.21223577934352983,0.988833746898263,0.17182853167004292,0.9554455445544554,0.15013233996666994,,10_29,0.003438068608413522,,2
17,0.9486166007905138,0.23560749269633957,0.9913151364764268,0.17581845833666854,0.9356435643564357,0.17454171159690227,,17_29,0.08473288000185739,,2
18,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.17083105000338653,0.9455445544554455,0.15826879717674738,,8_14,0.06271868123344976,,2
19,0.9446640316205533,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.16640525438682482,,30_25,0.026460734333017984,,2
20,0.9407114624505929,0.2239216360199347,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,9_23,0.011190356195800125,,2
21,0.9446640316205533,0.22100017185083348,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.17454171159690227,,38_30,0.08507396128881112,,2
22,0.9446640316205533,0.20931431517442858,0.9838709677419355,0.1678386050034173,0.9603960396039604,0.14606411136163122,,9_22,0.015087159474655498,,2
23,0.9525691699604744,0.20931431517442858,0.9900744416873449,0.17083105000338653,0.9356435643564357,0.15013233996666994,,35_23,0.06321920371821474,,2
24,0.9486166007905138,0.21807870768173226,0.9900744416873449,0.1728260133366993,0.9554455445544554,0.16640525438682482,,13_34,0.0551251785070407,,2
25,0.9565217391304348,0.2239216360199347,0.9937965260545906,0.17382349500335573,0.9455445544554455,0.16640525438682482,,24_15,0.040734336505240706,,2
26,0.9407114624505929,0.2239216360199347,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.17454171159690227,,22_36,0.061697646573880216,,2
27,0.9486166007905138,0.21807870768173226,0.9875930521091811,0.1728260133366993,0.9455445544554455,0.15826879717674738,,6_24,0.09997306798355617,,2
28,0.9446640316205533,0.21515724351263105,0.9875930521091811,0.1728260133366993,0.9356435643564357,0.17454171159690227,,17_17,0.029980407389084727,,2
29,0.924901185770751,0.1947069943289225,0.9714640198511166,0.15786378833685324,0.9455445544554455,0.15013233996666994,,4_9,0.08932469275102245,,2
30,0.9525691699604744,0.21515724351263105,0.9863523573200993,0.17581845833666854,0.9356435643564357,0.17454171159690227,,5_39,0.00503698613860217,,2
